"id","certificateid","courseid","coursename","cpath","startdate","enddate","duration","flag","certificatetype","createdate"
"94","ISS- FP--02-2024-","Funding Project - Feb2024","FRAMEWORK FOR RESEARCH AND PROJECT PROPOSAL WRITING & FUNDING OPPORTUNITIES FOR PROJECT","b5c17.jpg","16/02/2024","18/02/2024","3 Days","0","landscape","2024-02-17 20:25:31"
"95","ISS-EBA-02-2024-","Excel Basic Advanced - feb 2024","WORKING KNOWLEDGE OF EXCEL BASIC & ADVANCED ","995db.jpg","13/02/2024","24/02/2024","2 weeks","0","landscape","2024-02-24 14:03:37"
"96","ISS--WM--02--2024-","Webminds JS-Feb2024","Webminds Javascript Feb 2024","614e1.jpg","19/02/2024","02/03/2024","2 weeks","0","landscape","2024-03-02 13:27:18"
"97","ISS--DMV--02--2024","Power BI Data Modeling and Visualization Feb Mar - 2024","Power BI :Data Modeling and Visualization","24987.jpg","27/02/2024","10/03/2024","2 weeks","0","landscape","2024-03-10 22:22:50"
"98","ISS--DG--02--2024-","Data Gateway Feb Mar 2024","Data Gateway: MS Excel, Power BI & Data Modeling","94c7b.jpg","13/02/2024","12/03/2024","1 Month","0","landscape","2024-03-14 10:58:30"
"99","ISS--ECM--03--2024-","Embedded C Mar 2024","Embedded C Programming Micro Controllers","2b972.jpg","09/03/2024","11/03/2024","3 Days","0","landscape","2024-03-16 11:09:13"
"100","ISS--APT--03--2024","Aptitude Training Mar 2024","APTITUDE TRAINING","85f3c.jpg","06/03/2024","20/03/2024","2 weeks","0","landscape","2024-03-20 18:48:04"
"101","ISS--DDPT--03-2024-","Dynamic Dashboard Partner Tableau Mar 2024","Tableau Dynamic Dashboard Partner","9884c.jpg","18/03/2024","20/03/2024","3 Days","0","landscape","2024-03-21 16:33:32"
"102","ISS-MT--03-2024-","MYSQL & TABLEAU Mar 2024","ESSENTIAL INSIGHTS MYSQL & TABLEAU ","61c89.jpg","12/03/2024","22/03/2024","2 weeks","0","landscape","2024-03-21 17:15:27"
"103","ISS--PYT--03-2024-","PYTHON CODING MADE EASY MAR 2024","PYTHON CODING MADE EASY","96285.jpg","25/03/2024","27/03/2024","3 Days","0","landscape","2024-03-27 15:26:48"
"104","ISS-- JOM--03-2024-","JACK OF ALL TRADES II-","JOAT OF ALL TRADES","13724.jpg","05/02/2024","27/03/2024","2 Months","0","landscape","2024-03-27 16:42:24"
"105","ISS-JOT--03-2024-","JACK OF ALL TRADES II FEB - MAR 2024","JACK OF ALL TRADES","a1978.jpg","05/02/2024","27/03/2024","2 Months","0","landscape","2024-03-27 16:46:23"
"106","aS","As","asd","fb5e3.jpg","25/04/2024","21/04/2024","asd","1","landscape","2024-04-23 09:47:15"
"107","ISS-FSDPD-04-2024-","Full Stack Development using django Apr_May 2024","FULL STACK DEVELOPMENT USING PYTHON FRAMEWORK DJANGO","14b6f.jpg","03/04/2024","03/05/2024","1 Month","0","landscape","2024-05-03 07:45:58"
"108","ISS--MLM--05-2024--","MACHINE LEARNING MASTERY: A DEEP DIVE INTO DATA SCIENCE-Apr_May 2024","MACHINE LEARNING MASTERY: A DEEP DIVE INTO DATA SCIENCE","712ce.jpg","12/04/2024","09/05/2024","1 Month","0","landscape","2024-05-09 18:02:06"
"109","ISS--ARMD--05--2024-","Advanced Research Methodology May 2024","ADVANCED RESEARCH METHODOLOGY THROUGH STRATEGIC DATA ANALYSIS","8429e.jpg","06/05/2024","10/05/2024","5 Days","0","landscape","2024-05-10 12:20:32"
